Artist Name,Year,Movie,Critic Score,Audience Score,Box Office Score,Updated By
Dhanush,2010,Uthama puthiran,5,7,5,
Dhanush,2011,Venghai,4,5,4,
Dhanush,2012,3,7,8,8,
Dhanush,2013,Maryan,8,7,7,
Dhanush,2014,VIP,8,9,8,
Dhanush,2015,Anegan,5,5,4,
Dhanush,2016,Kodi,6,7,7,
Dhanush,2017,VIP 2,3,4,3,
Dhanush,2018,Vada chennai,9,9,9,
Dhanush,2019,Asuran,8,9,9,
Dhanush,2020,Pattas,6,8,7,
Simbu,2010,VTV,8,9,8,
Simbu,2011,Osthi,4,6,5,
Simbu,2012,Podaa podi,5,5,3,
Simbu,2013,Kanna laddu thinna aasaiya,4,4,3,
Simbu,2014,Inga enna solluthu,5,6,5,
Simbu,2015,Vaalu,4,5,5,
Simbu,2016,Achcham enbathu madamaiyada,4,4,3,
Simbu,2017,Anbanavan adangathavan asarathavan,3,4,2,
Simbu,2018,Chekka chivantha vaanam,8,9,8,
Simbu,2019,Vantha Rajavathan varuven,5,7,6,
Simbu,2019,Kaatrin mozhi,7,7,5,
Vijay,2010,Sura,5,7,5,
Vijay,2011,Velayudham,5,5,4,
Vijay,2012,Thuppaki,8,9,9,
Vijay,2013,Thalaivaa,5,7,6,
Vijay,2014,Kaththi,7,9,9,
Vijay,2015,Puli,5,6,5,
Vijay,2016,Theri,7,9,9,
Vijay,2017,Mersal,8,8,9,
Vijay,2018,Sarkar,8,9,9,
Vijay,2019,Bigil,7,8,9,
Anirudh Ravichandran,2012,3,7,8,9,
Anirudh Ravichandran,2013,David,7,8,7,
Anirudh Ravichandran,2013,Ethir neechal,8,8,8,
Anirudh Ravichandran,2013,Vanakkam chennai,8,9,8,
Anirudh Ravichandran,2014,Vellailla pattadhaari,9,8,9,
Anirudh Ravichandran,2015,Vedhalam,7,8,8,
Anirudh Ravichandran,2016,Remo,8,8,7,
Anirudh Ravichandran,2017,Vivegam,7,8,8,
Anirudh Ravichandran,2018,Kolamavu kokila,6,7,8,
Anirudh Ravichandran,2019,Petta,8,9,9,
Anirudh Ravichandran,2020,Darbar,8,8,8,
Siva Karthikeyan,2012,3,7,7,8,
Siva Karthikeyan,2012,Manam kothi paravai,6,5,5,
Siva Karthikeyan,2013,Kedi Billa killadi Ranga,7,7,8,
Siva Karthikeyan,2013,Varuthapadatha valibar sangam,7,8,8,
Siva Karthikeyan,2014,Maan karate,7,8,8,
Siva Karthikeyan,2015,Rajini murugan,6,8,7,
Siva Karthikeyan,2016,Remo,8,9,8,
Siva Karthikeyan,2017,Velaikaran,8,8,9,
Siva Karthikeyan,2018,Seema Raja,6,7,6,
Siva Karthikeyan,2019,Mr local,6,6,5,
Siva Karthikeyan,2019,Hero,7,6,6,
Samantha,2010,Baana kaathadi,7,8,7,
Samantha,2012,Naan E,8,9,9,
Samantha,2012,Neethane En ponvasantham,7,7,7,
Samantha,2014,Anjaan,7,8,8,
Samantha,2014,Kaththi,8,8,9,
Samantha,2015,Thanga magan,7,8,7,
Samantha,2016,24,8,8,8,
Samantha,2017,Mersal,7,9,9,
Samantha,2018,U Turn,8,7,7,
Samantha,2018,Irumbu thirai,7,6,7,
Samantha,2019,Super deluxe,8,8,7,
Keerthy Suresh,2016,Rajini murugan,6,8,7,
Keerthy Suresh,2016,Thodari,5,6,7,
Keerthy Suresh,2016,Remo,8,9,8,
Keerthy Suresh,2017,Bairavaa,6,6,7,
Keerthy Suresh,2018,Thaana serntha koottam,7,6,7,
Keerthy Suresh,2018,Nadigayar thilagam,9,8,9,
Keerthy Suresh,2018,Seema raja,6,7,6,
Keerthy Suresh,2018,Saamy 2,6,7,7,
Keerthy Suresh,2018,Sandakozhi 2,7,7,8,
Keerthy Suresh,2018,Sarkar,6,7,8,
Keerthy Suresh,2020,Penguin,7,7,7,
AR Rahman,2010,Enthiran,8,9,9,
AR Rahman,2010,Vinnai thaandi varuvaaya,8,8,9,
AR Rahman,2012,Kadal,8,8,8,
AR Rahman,2013,Maryan,8,8,9,
AR Rahman,2014,Kochadaiyaan,7,8,8,
AR Rahman,2015,I,8,9,9,
AR Rahman,2016,24,7,8,8,
AR Rahman,2017,Mersal,8,8,9,
AR Rahman,2018,2.o,8,8,8,
AR Rahman,2018,Sarkar,8,8,9,
AR Rahman,2019,Bigil,8,8,9,
Shankar,1993,Gentle man,8,8,9,
Shankar,1994,Kaadhalan,,,,
Shankar,1996,Indian,8,9,9,
Shankar,1999,Mudhalvan,7,8,7,
Shankar,2003,Boys,9,8,8,
Shankar,2005,Anniyan,9,9,9,
Shankar,2007,Sivaji,9,9,9,
Shankar,2010,Enthiran,8,9,9,
Shankar,2012,Nanban,8,8,9,
Shankar,2015,I,9,9,9,
Shankar,2018,2.o,8,9,9,
Harris Jayaraj,2010,Sura,7,8,8,
Harris Jayaraj,2011,7aum arivu,8,9,8,
Harris Jayaraj,2012,Nanban,8,9,8,
Harris Jayaraj,2013,Endrendrum Punnagai,7,8,8,
Harris Jayaraj,2014,Idhu Kathirvelan Kadhal,7,6,7,
Harris Jayaraj,2015,Anegan,7,8,7,
Harris Jayaraj,2016,Iru Mugan,8,8,8,
Harris Jayaraj,2017,Vanamagan,6,7,6,
Harris Jayaraj,2017,Spyder,6,5,6,
Harris Jayaraj,2019,Dev,6,7,5,
Harris Jayaraj,2019,Kaappan,7,8,7,
AR Murugadoss,2001,Dheena,6,7,7,
AR Murugadoss,2002,Ramana,8,9,9,
AR Murugadoss,2005,Ghajini,9,9,9,
AR Murugadoss,2011,7 am arivu,8,8,8,
AR Murugadoss,2012,Thuppaki,8,9,9,
AR Murugadoss,2014,Kaththi,8,9,9,
AR Murugadoss,2016,,,,,
AR Murugadoss,2017,Spyder,7,7,6,
AR Murugadoss,2018,Sarkar,8,9,8,
AR Murugadoss,2019,,,,,
AR Murugadoss,2020,Darbar,8,9,9,
Jayam Ravi,2010,Thillalangadi,6,7,7,
Jayam Ravi,2011,Engeyum Kadhal,7,7,6,
Jayam Ravi,2013,Aadhi Bhagavan,4,3,3,
Jayam Ravi,2014,Nimirndhu nil,6,6,5,
Jayam Ravi,2015,Romeo Juliet,8,7,7,
Jayam Ravi,2015,Thani Oruvan,9,9,9,
Jayam Ravi,2016,Miruthan,6,8,7,
Jayam Ravi,2017,Bogan,7,7,8,
Jayam Ravi,2018,Tik Tik Tik,7,6,7,
Jayam Ravi,2018,Adanga maru,7,9,8,
Jayam Ravi,2019,Comali,5,7,6,
Yuvan Shankar Raja,2010,Thillalangadi,7,7,6,
Yuvan Shankar Raja,2011,Mankatha,8,9,8,
Yuvan Shankar Raja,2012,Billa 2,6,8,5,
Yuvan Shankar Raja,2013,Arrambam,6,7,6,
Yuvan Shankar Raja,2014,Anjaan,4,5,4,
Yuvan Shankar Raja,2015,Mass,6,7,5,
Yuvan Shankar Raja,2016,Dharma Durai,6,8,6,
Yuvan Shankar Raja,2017,Kadamban,6,5,4,
Yuvan Shankar Raja,2018,Irumbu Thirai,8,10,7,
Yuvan Shankar Raja,2019,NGK,6,8,6,
Yuvan Shankar Raja,2019,Hero,7,6,4,
Nayanthara,2010,Boss Engira Bhaskaran,6,7,6,
Nayanthara,2013,Aarambam,6,7,6,
Nayanthara,2013,Raja Rani,7,8,6,
Nayanthara,2014,Idhu Kathirvelanin kadhal,6,6,4,
Nayanthara,2015,Nanbenda,,,,
Nayanthara,2015,Maya,,,,
Nayanthara,2016,Iru Mugan,,,,
Nayanthara,2017,Dora,,,,
Nayanthara,2018,Kolamavu Kokila,,,,
Nayanthara,2019,Viswasam,,,,
Nayanthara,2019,Bigil,,,,
Mani Ratnam,1990,Anjali,,,,
Mani Ratnam,1991,Thalapathy,,,,
Mani Ratnam,1992,Roja,,,,
Mani Ratnam,1995,Bombay,,,,
Mani Ratnam,2000,Alaipayuthey,,,,
Mani Ratnam,2004,Ayutha eluthu,,,,
Mani Ratnam,2010,Raavanan,,,,
Mani Ratnam,2013,Kadal,,,,
Mani Ratnam,2015,O kadhal kanmani,,,,
Mani Ratnam,2017,Kaatru veliyidai,,,,
Mani Ratnam,2018,Chekka chivantha vaanam,,,,
KS Ravi Kumar,1994,Naattamai,,,,
KS Ravi Kumar,1996,Avvai Shanmugi,,,,
KS Ravi Kumar,1999,Padayappa,,,,
KS Ravi Kumar,2002,Panchathanthiram,,,,
KS Ravi Kumar,2004,Aethiree,,,,
KS Ravi Kumar,2006,Saravana,,,,
KS Ravi Kumar,2008,Dasavatharam,,,,
KS Ravi Kumar,2009,Aadhavan,,,,
KS Ravi Kumar,2010,Manmadhan Ambu,,,,
KS Ravi Kumar,2014,Lingaa,,,,
KS Ravi Kumar,2016,Mudinja Ivana pudi,,,,
Vadivelu,2009,Aadhavan,,,,
Vadivelu,2010,Sura,,,,
Vadivelu,2010,Thillalangadi,,,,
Vadivelu,2010,Nagaram,,,,
Vadivelu,2011,Kaavalan,,,,
Vadivelu,2011,Mambattiyaan,,,,
Vadivelu,2014,Tenali Raman,,,,
Vadivelu,2015,Eli,,,,
Vadivelu,2016,Kaththi Sandai,,,,
Vadivelu,2017,Shivalinga,,,,
Vadivelu,2017,Mersal,,,,
Trisha,2010,Vinnai Thaandi Varuvayaa,,,,
Trisha,2011,Mankatha,,,,
Trisha,2012,,,,,
Trisha,2013,Samar,,,,
Trisha,2014,,,,,
Trisha,2015,Yennai Arindhaal,,,,
Trisha,2016,Aranmanai 2,,,,
Trisha,2017,,,,,
Trisha,2018,96,,,,
Trisha,2019,Petta,,,,
Trisha,2020,,,,,
Raghava Lawrence,2010,Irumbokottai murattu Singam,,,,
Raghava Lawrence,2011,Kanchana,,,,
Raghava Lawrence,2012,,,,,
Raghava Lawrence,2013,,,,,
Raghava Lawrence,2014,,,,,
Raghava Lawrence,2015,Kanchana 2,,,,
Raghava Lawrence,2016,,,,,
Raghava Lawrence,2017,Motta Siva ketta Siva,,,,
Raghava Lawrence,2017,Shivalinga,,,,
Raghava Lawrence,2019,Kanchana 3,,,,
Raghava Lawrence,2020,,,,,
Vivek,2010,Singam,,,,
Vivek,2011,Vedi,,,,
Vivek,2012,Muratu Kalai,,,,
Vivek,2013,Singam 2,,,,
Vivek,2014,Velaiyilla Pattathari,,,,
Vivek,2015,Yennai Arindhal,,,,
Vivek,2016,Manithan,,,,
Vivek,2017,VIP 2,,,,
Vivek,2018,Ezhumin,,,,
Vivek,2019,Viswasam,,,,
Vivek,2020,Dharala Prabhu,,,,
Vetrimaran,2010,,,,,
Vetrimaran,2011,Aadukalam,,,,
Vetrimaran,2012,,,,,
Vetrimaran,2013,Udhayam NH4,,,,
Vetrimaran,2014,Poriyaalan,,,,
Vetrimaran,2015,Kaaka Muttai,,,,
Vetrimaran,2016,Visaaranai,,,,
Vetrimaran,2017,Lens,,,,
Vetrimaran,2018,Vada Chennai,,,,
Vetrimaran,2019,Asuran,,,,
Vetrimaran,2020,,,,,
Tamannaah,2010,Paiyaa,,,,
Tamannaah,2011,Siruthai,,,,
Tamannaah,2012,,,,,
Tamannaah,2013,,,,,
Tamannaah,2014,Veeram,,,,
Tamannaah,2015,Baahubali,,,,
Tamannaah,2016,Thozha,,,,
Tamannaah,2017,Baahubali 2,,,,
Tamannaah,2018,Sketch,,,,
Tamannaah,2019,Devi 2,,,,
Tamannaah,2020,,,,,
Hiphop Tamizha,2010,,,,,
Hiphop Tamizha,2011,,,,,
Hiphop Tamizha,2012,,,,,
Hiphop Tamizha,2013,,,,,
Hiphop Tamizha,2014,,,,,
Hiphop Tamizha,2015,,,,,
Hiphop Tamizha,2016,,,,,
Hiphop Tamizha,2017,Meesaya Murukku,,,,
Hiphop Tamizha,2018,,,,,
Hiphop Tamizha,2019,Natpe Thunai,,,,
Hiphop Tamizha,2020,Naan Sirithal,,,,
Gautam Vasudev Menon,2010,,,,,
Gautam Vasudev Menon,2011,Nadunisi Naaygal,,,,
Gautam Vasudev Menon,2012,Neethaane En Ponvasantham,,,,
Gautam Vasudev Menon,2013,,,,,
Gautam Vasudev Menon,2014,,,,,
Gautam Vasudev Menon,2015,Yennai Arindhal,,,,
Gautam Vasudev Menon,2016,Achcham Enbathu Madamaiyada,,,,
Gautam Vasudev Menon,2017,,,,,
Gautam Vasudev Menon,2018,,,,,
Gautam Vasudev Menon,2019,Enai Noki Paayum Thota,,,,
Gautam Vasudev Menon,2020,,,,,
Santhanam,2010,Boss Engira Bhaskaran,,,,
Santhanam,2011,Deiva Thirumagal,,,,
Santhanam,2012,Kalakalappu,,,,
Santhanam,2013,Thalaiva,,,,
Santhanam,2014,Veeram,,,,
Santhanam,2015,I,,,,
Santhanam,2016,Dhilluku Dhuddu,,,,
Santhanam,2017,Sakka Podu Podu Raja,,,,
Santhanam,2018,,,,,
Santhanam,2019,Dhilluku Dhuddu 2,,,,
Santhanam,2020,Dagaalty,,,,
Sasikumar,2010,Easan,,,,
Sasikumar,2011,Ko,,,,
Sasikumar,2012,Sundarapandian,,,,
Sasikumar,2013,Kutti Puli,,,,
Sasikumar,2014,Nimirndhu Nil,,,,
Sasikumar,2015,,,,,
Sasikumar,2016,Thaarai Thapatai,,,,
Sasikumar,2017,Kodiveeran,,,,
Sasikumar,2018,Asuravadham,,,,
Sasikumar,2019,Petta,,,,
Sasikumar,2020,,,,,
Rajinikanth,2010,Enthiran,,,,
Rajinikanth,2011,Ra. One,,,,
Rajinikanth,2012,,,,,
Rajinikanth,2013,,,,,
Rajinikanth,2014,Kochadaiyan,,,,
Rajinikanth,2015,Kabali,,,,
Rajinikanth,2016,,,,,
Rajinikanth,2018,2.O,,,,
Rajinikanth,2018,Kaala,,,,
Rajinikanth,2019,Petta,,,,
Rajinikanth,2020,Darbar,,,,
Ajith Kumar,2010,Aasal,,,,
Ajith Kumar,2011,Mankatha,,,,
Ajith Kumar,2012,Billa 2,,,,
Ajith Kumar,2013,Arrambam,,,,
Ajith Kumar,2014,Veeram,,,,
Ajith Kumar,2015,Yennai Arindhal,,,,
Ajith Kumar,2016,,,,,
Ajith Kumar,2017,Vivegam,,,,
Ajith Kumar,2018,Viswasam,,,,
Ajith Kumar,2019,Nerkonda Parvai,,,,
Ajith Kumar,2020,,,,,
Vishal,2010,,,,,
Vishal,2011,,,,,
Vishal,2012,,,,,
Vishal,2013,,,,,
Vishal,2014,,,,,
Vishal,2015,,,,,
Vishal,2016,,,,,
Vishal,2017,,,,,
Vishal,2018,,,,,
Vishal,2019,,,,,
Vishal,2020,,,,,
Soori,2010,Naan Mahaan Alla,,,,
Soori,2011,Velayudham,,,,
Soori,2012,Manam Kothi Paravai,,,,
Soori,2013,Kedi Billa Kiladi Ranga,,,,
Soori,2014,Jilla,,,,
Soori,2015,Vedalam,,,,
Soori,2016,Rajini Murugan,,,,
Soori,2017,Saravanan Iruka Bayamen,,,,
Soori,2018,Sketch,,,,
Soori,2019,Kanchana 3,,,,
Soori,2020,,,,,
Suriya,2010,Singam,,,,
Suriya,2011,7aum Arivu,,,,
Suriya,2012,Maattrraan,,,,
Suriya,2013,Singam 2,,,,
Suriya,2014,Anjaan,,,,
Suriya,2015,,,,,
Suriya,2016,,,,,
Suriya,2017,,,,,
Suriya,2018,,,,,
Suriya,2019,,,,,
Suriya,2020,,,,,
Illayaraja,2010,,,,,
Illayaraja,2011,,,,,
Illayaraja,2012,,,,,
Illayaraja,2013,,,,,
Illayaraja,2014,,,,,
Illayaraja,2015,,,,,
Illayaraja,2016,,,,,
Illayaraja,2017,,,,,
Illayaraja,2018,,,,,
Illayaraja,2019,,,,,
Illayaraja,2020,,,,,
Karthi,2010,,,,,
Karthi,2011,,,,,
Karthi,2012,,,,,
Karthi,2013,,,,,
Karthi,2014,,,,,
Karthi,2015,,,,,
Karthi,2016,,,,,
Karthi,2017,,,,,
Karthi,2018,,,,,
Karthi,2019,,,,,
Karthi,2020,,,,,
Vimal,2010,,,,,
Vimal,2011,,,,,
Vimal,2012,,,,,
Vimal,2013,,,,,
Vimal,2014,,,,,
Vimal,2015,,,,,
Vimal,2016,,,,,
Vimal,2017,,,,,
Vimal,2018,,,,,
Vimal,2019,,,,,
Vimal,2020,,,,,
Aushka Shetty,2010,,,,,
Aushka Shetty,2011,,,,,
Aushka Shetty,2012,,,,,
Aushka Shetty,2013,,,,,
Aushka Shetty,2014,,,,,
Aushka Shetty,2015,,,,,
Aushka Shetty,2016,,,,,
Aushka Shetty,2017,,,,,
Aushka Shetty,2018,,,,,
Aushka Shetty,2019,,,,,
Aushka Shetty,2020,,,,,
Vishnu Vishal,2010,,,,,
Vishnu Vishal,2011,,,,,
Vishnu Vishal,2012,,,,,
Vishnu Vishal,2013,,,,,
Vishnu Vishal,2014,,,,,
Vishnu Vishal,2015,,,,,
Vishnu Vishal,2016,,,,,
Vishnu Vishal,2017,,,,,
Vishnu Vishal,2018,,,,,
Vishnu Vishal,2019,,,,,
Vishnu Vishal,2020,,,,,
Arya,2010,,,,,
Arya,2011,,,,,
Arya,2012,,,,,
Arya,2013,,,,,
Arya,2014,,,,,
Arya,2015,,,,,
Arya,2016,,,,,
Arya,2017,,,,,
Arya,2018,,,,,
Arya,2019,,,,,
Arya,2020,,,,,
GV Prakash Kumar,2010,,,,,
GV Prakash Kumar,2011,,,,,
GV Prakash Kumar,2012,,,,,
GV Prakash Kumar,2013,,,,,
GV Prakash Kumar,2014,,,,,
GV Prakash Kumar,2015,,,,,
GV Prakash Kumar,2016,,,,,
GV Prakash Kumar,2017,,,,,
GV Prakash Kumar,2018,,,,,
GV Prakash Kumar,2019,,,,,
GV Prakash Kumar,2020,,,,,
Raai Lakshmi,2010,,,,,
Raai Lakshmi,2011,,,,,
Raai Lakshmi,2012,,,,,
Raai Lakshmi,2013,,,,,
Raai Lakshmi,2014,,,,,
Raai Lakshmi,2015,,,,,
Raai Lakshmi,2016,,,,,
Raai Lakshmi,2017,,,,,
Raai Lakshmi,2018,,,,,
Raai Lakshmi,2019,,,,,
Raai Lakshmi,2020,,,,,
Anjali,2010,,,,,
Anjali,2011,,,,,
Anjali,2012,,,,,
Anjali,2013,,,,,
Anjali,2014,,,,,
Anjali,2015,,,,,
Anjali,2016,,,,,
Anjali,2017,,,,,
Anjali,2018,,,,,
Anjali,2019,,,,,
Anjali,2020,,,,,
Rakul Preet Singh,2010,,,,,
Rakul Preet Singh,2011,,,,,
Rakul Preet Singh,2012,,,,,
Rakul Preet Singh,2013,,,,,
Rakul Preet Singh,2014,,,,,
Rakul Preet Singh,2015,,,,,
Rakul Preet Singh,2016,,,,,
Rakul Preet Singh,2017,,,,,
Rakul Preet Singh,2018,,,,,
Rakul Preet Singh,2019,,,,,
Rakul Preet Singh,2020,,,,,
Hansika Motwani,2010,,,,,
Hansika Motwani,2011,,,,,
Hansika Motwani,2012,,,,,
Hansika Motwani,2013,,,,,
Hansika Motwani,2014,,,,,
Hansika Motwani,2015,,,,,
Hansika Motwani,2016,,,,,
Hansika Motwani,2017,,,,,
Hansika Motwani,2018,,,,,
Hansika Motwani,2019,,,,,
Hansika Motwani,2020,,,,,
Hari,2010,,,,,
Hari,2011,,,,,
Hari,2012,,,,,
Hari,2013,,,,,
Hari,2014,,,,,
Hari,2015,,,,,
Hari,2016,,,,,
Hari,2017,,,,,
Hari,2018,,,,,
Hari,2019,,,,,
Hari,2020,,,,,
Kajal Aggarwal,2010,,,,,
Kajal Aggarwal,2011,,,,,
Kajal Aggarwal,2012,,,,,
Kajal Aggarwal,2013,,,,,
Kajal Aggarwal,2014,,,,,
Kajal Aggarwal,2015,,,,,
Kajal Aggarwal,2016,,,,,
Kajal Aggarwal,2017,,,,,
Kajal Aggarwal,2018,,,,,
Kajal Aggarwal,2019,,,,,
Kajal Aggarwal,2020,,,,,
Kajal Aggarwal,2010,,,,,
Shruti Haasan,2011,,,,,
Shruti Haasan,2012,,,,,
Shruti Haasan,2013,,,,,
Shruti Haasan,2014,,,,,
Shruti Haasan,2015,,,,,
Shruti Haasan,2016,,,,,
Shruti Haasan,2017,,,,,
Shruti Haasan,2018,,,,,
Shruti Haasan,2019,,,,,
Shruti Haasan,2020,,,,,
Aishwarya Rai Bachchan,2010,,,,,
Aishwarya Rai Bachchan,2011,,,,,
Aishwarya Rai Bachchan,2012,,,,,
Aishwarya Rai Bachchan,2013,,,,,
